id,company_name,country,data_source,source_id,created_at,updated_at,is_active
b2e2683c-f5f7-4474-9a42-e093486470fc,Sample EU Manufacturer,Germany,EUDAMED,EU-MFG-001,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
04e98f41-b64f-47dd-b6e2-b6e7d7ba57da,Another EU Manufacturer,France,EUDAMED,EU-MFG-002,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
39ef4462-277c-4fc6-9e37-d81cdb911171,Dräger Safety AG,Germany,EUDAMED,EU-MFG-001,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
5c66d608-017d-46ee-8374-945636313a79,Medicom Group,France,EUDAMED,EU-MFG-002,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
63534ebb-595e-4e16-936c-d69133c2417f,Ansell Healthcare,Belgium,EUDAMED,EU-MFG-003,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
1da4f870-4233-4a48-831e-deda62fcf620,UVEX Safety,Germany,EUDAMED,EU-MFG-004,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
7548dcaa-bdc6-4caa-8a7a-e85462816e03,J. H. Emerson Co.,USA,FDA,J. H. Emerson Co.,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
774fd0d1-1f32-4abd-8a99-f745319ecb8e,Molnlycke Health Care,USA,FDA,Molnlycke Health Care,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
90c4b80e-f08e-4048-b186-3d9a2f5d5045,Dukal Corporation,USA,FDA,Dukal Corporation,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
fa8c2e86-6549-466a-ae80-a6c359e981ac,3M Company,USA,FDA,3M Company,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
64fad998-0eec-48c9-bbe1-100b8f7cfb1c,"Alpha Protech, Inc.",USA,FDA,"Alpha Protech, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
037bc74e-b80c-403c-8863-91c97b77e985,"San-M Package Co., Ltd.",USA,FDA,"San-M Package Co., Ltd.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
2409e3f8-2b38-473e-a608-4fb2f57dcc0c,Dept. of the Navy,USA,FDA,Dept. of the Navy,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
80aa8afc-e496-4f12-ab26-a65d0b4573a1,Emerson Intl. Co.,USA,FDA,Emerson Intl. Co.,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
fc16d883-b346-4e20-ace9-9e2508b03142,3M Healthcare,USA,FDA,3M Healthcare,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
bf9b31d1-da35-46b1-b4ee-cddc5aa3995a,"Louis M. Gerson Co., Inc.",USA,FDA,"Louis M. Gerson Co., Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
d985d325-f594-44c6-8db5-f78198632bd4,"Gambro, Inc.",USA,FDA,"Gambro, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
f790e9b2-0e95-46c6-89bb-67a04a8a7266,"Healthdyne, Inc.",USA,FDA,"Healthdyne, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
0db521d5-f9bd-4b32-9ae5-36a64e75b288,"General Medical Products, Inc.",USA,FDA,"General Medical Products, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
a5a1828c-1009-4dea-9d27-fb125200df92,"Florida Medical Equipment Repair, Inc.",USA,FDA,"Florida Medical Equipment Repair, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
151f7c8e-3534-4dc1-961d-08f78f704e6f,"Intersect Medical Products, Inc.",USA,FDA,"Intersect Medical Products, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
6327ff8d-afff-4bf1-9f66-67a504d25723,Glaxosmithkline Consumer Healthcare,USA,FDA,Glaxosmithkline Consumer Healthcare,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
52ccc0fb-75d6-4557-ab60-837c8836bc6d,"Survivair Respirators, LLC",USA,FDA,"Survivair Respirators, LLC",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
f0468bc8-663d-44ed-93f3-5753404ccec4,Safelife Corp.,USA,FDA,Safelife Corp.,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
c21e3049-9622-4a00-b651-f0087dc15cc9,"Inovel, LLC",USA,FDA,"Inovel, LLC",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
cf3506fe-dde1-4148-95d6-f2ae1b364391,Prestige Ameritech,USA,FDA,Prestige Ameritech,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
edbb11a6-71c8-485a-bc66-15c5eb7abceb,Aearo Company,USA,FDA,Aearo Company,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
8f9b501c-5b8a-493d-8c69-ce7f373bcafa,"Owens & Minor (O&M) Halyard, Inc.",USA,FDA,"Owens & Minor (O&M) Halyard, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
90bf686f-9919-4b9e-856a-c09e5adf5e37,Rv Systems,USA,FDA,Rv Systems,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
66a50613-06de-4804-9bad-471a535f3b02,"Thompson Respiration Products, Inc.",USA,FDA,"Thompson Respiration Products, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
01e7af6c-9e82-4fbe-9dde-ee8b3ee52790,"Makrite Industries, Inc.",USA,FDA,"Makrite Industries, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
52e7bc38-1dd0-4ec7-929c-44b9718fc820,"Respironics, Inc.",USA,FDA,"Respironics, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
891837ba-f5cc-4be5-9431-b72157c92446,"Rule Medical Instruments, Inc.",USA,FDA,"Rule Medical Instruments, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
725c7043-d5ac-4611-9d3c-ef37c9a61755,"Nexera Medical, Inc.",USA,FDA,"Nexera Medical, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
c7efb688-12f0-43e2-8e95-bbf2dada04d9,"Racal Filter Technologies, Inc.",USA,FDA,"Racal Filter Technologies, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
d5cc3105-b135-49fc-bcd8-c75d146ba5e6,"Ivy Biomedical Systems, Inc.",USA,FDA,"Ivy Biomedical Systems, Inc.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
a36b2ea6-e71a-4910-b1b8-2b655cde2ab4,Shuenn Bao Shing Corporation,USA,FDA,Shuenn Bao Shing Corporation,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
2116272c-a5a7-4991-8aa6-a3fb945dcb21,Aearo Co.,USA,FDA,Aearo Co.,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
055ecbb8-315d-4243-8999-eec99041fab2,S & W Medico Teknik,USA,FDA,S & W Medico Teknik,2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
efb7fa0f-d57d-484f-9d38-96ffdba22cac,"Pasture Pharma Pte, Ltd.",USA,FDA,"Pasture Pharma Pte, Ltd.",2026-04-19T08:26:23.087Z,2026-04-19T08:26:23.087Z,true
